iter	Passed	Remaining
0	10	10881
1	22	11408
2	33	10980
3	43	10833
4	56	11153
5	66	11038
6	78	11122
7	90	11174
8	102	11276
9	112	11167
10	125	11264
11	137	11327
12	146	11116
13	157	11108
14	170	11169
15	181	11147
16	192	11108
17	204	11143
18	215	11112
19	225	11068
20	237	11075
21	249	11094
22	258	10987
23	269	10972
24	282	11021
25	293	10981
26	305	11009
27	317	11029
28	327	10977
29	339	10973
30	353	11034
31	369	11187
32	383	11225
33	397	11291
34	409	11292
35	423	11328
36	436	11361
37	454	11507
38	471	11619
39	486	11684
40	514	12028
41	532	12143
42	551	12280
43	567	12328
44	579	12308
45	589	12233
46	600	12166
47	612	12155
48	623	12093
49	634	12064
50	652	12142
51	666	12148
52	685	12252
53	698	12234
54	744	12799
55	774	13060
56	803	13295
57	839	13642
58	876	13983
59	901	14117
60	930	14325
61	956	14477
62	997	14843
63	1022	14953
64	1054	15161
65	1080	15293
66	1098	15294
67	1114	15277
68	1127	15217
69	1156	15359
70	1170	15317
71	1187	15308
72	1203	15279
73	1219	15256
74	1235	15242
75	1252	15228
76	1268	15206
77	1287	15218
78	1305	15216
79	1324	15226
80	1334	15140
81	1346	15072
82	1359	15017
83	1372	14962
84	1384	14898
85	1397	14847
86	1411	14810
87	1424	14759
88	1436	14708
89	1449	14655
90	1462	14611
91	1475	14559
92	1488	14515
93	1501	14468
94	1513	14416
95	1527	14384
96	1542	14357
97	1555	14312
98	1568	14274
99	1580	14221
100	1592	14174
101	1605	14132
102	1617	14084
103	1627	14024
104	1642	13997
105	1656	13968
106	1668	13925
107	1678	13865
108	1690	13819
109	1702	13774
110	1715	13735
111	1727	13699
112	1739	13655
113	1752	13624
114	1766	13593
115	1778	13553
116	1789	13508
117	1803	13477
118	1817	13458
119	1828	13408
120	1841	13378
121	1860	13389
122	1870	13340
123	1884	13311
124	1898	13288
125	1910	13254
126	1924	13228
127	1936	13193
128	1951	13174
129	1964	13144
130	1976	13109
131	1987	13071
132	1998	13028
133	2010	12991
134	2020	12946
135	2032	12911
136	2044	12878
137	2058	12860
138	2071	12833
139	2082	12793
140	2096	12772
141	2108	12741
142	2121	12715
143	2132	12678
144	2144	12648
145	2156	12613
146	2168	12585
147	2179	12546
148	2191	12519
149	2204	12489
